year,level_1,level_2,value
2014,Ang Mo Kio Police Division - Yishun South NPC,Harassment,152
2014,Bedok Police Division - Total,Unlicensed Moneylending,96
2014,Bedok Police Division - Total,Harassment,1128
2014,Bedok Police Division - Bedok North NPC,Unlicensed Moneylending,56
2014,Bedok Police Division - Bedok North NPC,Harassment,237
2014,Bedok Police Division - Bedok South NPC,Unlicensed Moneylending,6
2014,Bedok Police Division - Bedok South NPC,Harassment,108
2014,Bedok Police Division - Changi NPC,Unlicensed Moneylending,8
2014,Bedok Police Division - Changi NPC,Harassment,141
2014,Bedok Police Division - Geylang NPC,Unlicensed Moneylending,13
2014,Bedok Police Division - Geylang NPC,Harassment,151
2014,Bedok Police Division - Marine Parade NPC,Unlicensed Moneylending,3
2014,Bedok Police Division - Marine Parade NPC,Harassment,53
2014,Bedok Police Division - Pasir Ris NPC,Unlicensed Moneylending,4
2014,Bedok Police Division - Pasir Ris NPC,Harassment,151
2014,Bedok Police Division - Tampines NPC,Unlicensed Moneylending,6
2014,Bedok Police Division - Tampines NPC,Harassment,287
2014,Jurong Police Division - Total,Unlicensed Moneylending,347
2014,Jurong Police Division - Total,Harassment,1715
2014,Jurong Police Division - Bukit Batok NPC,Unlicensed Moneylending,76
2014,Jurong Police Division - Bukit Batok NPC,Harassment,217
2014,Jurong Police Division - Bukit Panjang NPC,Unlicensed Moneylending,72
2014,Jurong Police Division - Bukit Panjang NPC,Harassment,192
2014,Jurong Police Division - Choa Chu Kang NPC,Unlicensed Moneylending,25
2014,Jurong Police Division - Choa Chu Kang NPC,Harassment,276
2014,Jurong Police Division - Jurong West NPC,Unlicensed Moneylending,23
2014,Jurong Police Division - Jurong West NPC,Harassment,286
2014,Jurong Police Division - Nanyang NPC,Unlicensed Moneylending,103
2014,Jurong Police Division - Nanyang NPC,Harassment,247
2014,Jurong Police Division - Woodlands NPC,Unlicensed Moneylending,na
2014,Jurong Police Division - Woodlands NPC,Harassment,na
2014,Jurong Police Division - Woodlands East NPC,Unlicensed Moneylending,164
2014,Jurong Police Division - Woodlands East NPC,Harassment,29
2014,Jurong Police Division - Woodlands West NPC,Unlicensed Moneylending,352
2014,Jurong Police Division - Woodlands West NPC,Harassment,145
2014,Woodlands Police Division - Total,Unlicensed Moneylending,-
2014,Woodlands Police Division - Total,Harassment,-
2014,Woodlands Police Division - Woodlands East NPC,Unlicensed Moneylending,-
2014,Woodlands Police Division - Woodlands East NPC,Harassment,-
2014,Woodlands Police Division - Woodlands West NPC,Unlicensed Moneylending,-
2014,Woodlands Police Division - Woodlands West NPC,Harassment,-
2014,Woodlands Police Division - Yishun North NPC,Unlicensed Moneylending,-
2014,Woodlands Police Division - Yishun North NPC,Harassment,-
2014,Woodlands Police Division - Yishun South NPC,Unlicensed Moneylending,-
2014,Woodlands Police Division - Yishun South NPC,Harassment,-
2014,Woodlands Police Division - Sembawang NPC,Unlicensed Moneylending,-
2014,Woodlands Police Division - Sembawang NPC,Harassment,-
2015,Central Police Division - Total,Unlicensed Moneylending,60
2015,Central Police Division - Total,Harassment,148
2015,Central Police Division - Bukit Merah East NPC,Unlicensed Moneylending,36
2015,Central Police Division - Bukit Merah East NPC,Harassment,67
2015,Central Police Division - Marina Bay NPC,Unlicensed Moneylending,4
2015,Central Police Division - Marina Bay NPC,Harassment,14
2015,Central Police Division - Rochor NPC,Unlicensed Moneylending,20
2015,Central Police Division - Rochor NPC,Harassment,67
2015,Clementi Police Division - Total,Unlicensed Moneylending,47
2015,Clementi Police Division - Total,Harassment,353
2015,Clementi Police Division - Bukit Merah West NPC,Unlicensed Moneylending,5
2015,Clementi Police Division - Bukit Merah West NPC,Harassment,72
2015,Clementi Police Division - Clementi NPC,Unlicensed Moneylending,27
2015,Clementi Police Division - Clementi NPC,Harassment,84
2015,Clementi Police Division - Jurong East NPC,Unlicensed Moneylending,10
2015,Clementi Police Division - Jurong East NPC,Harassment,127
2015,Clementi Police Division - Queenstown NPC,Unlicensed Moneylending,5
