Year,Crime_code,Age_group,Gender,Total_count
2016,8,21 Years Old And Below,Female,1
2016,8,Youths (7 To 19 Years Old),Female,1
2016,7,Above 21 Years Old,Male,81
2016,7,21 Years Old And Below,Male,23
2016,7,Youths (7 To 19 Years Old),Male,15
2016,7,Above 21 Years Old,Female,4
2016,7,21 Years Old And Below,Female,0
2016,7,Youths (7 To 19 Years Old),Female,0
2016,11,Above 21 Years Old,Male,100
2016,11,21 Years Old And Below,Male,59
2016,11,Youths (7 To 19 Years Old),Male,57
2016,11,Above 21 Years Old,Female,3
2016,11,21 Years Old And Below,Female,4
2016,11,Youths (7 To 19 Years Old),Female,2
2016,9,Above 21 Years Old,Male,48
2016,9,21 Years Old And Below,Male,34
2016,9,Youths (7 To 19 Years Old),Male,24
2016,9,Above 21 Years Old,Female,2
2016,9,21 Years Old And Below,Female,1
2016,9,Youths (7 To 19 Years Old),Female,1
2016,10,Above 21 Years Old,Male,29
2016,10,21 Years Old And Below,Male,9
2016,10,Youths (7 To 19 Years Old),Male,5
2016,10,Above 21 Years Old,Female,0
2016,10,21 Years Old And Below,Female,0
2016,10,Youths (7 To 19 Years Old),Female,0
2016,17,Above 21 Years Old,Male,290
2016,17,21 Years Old And Below,Male,198
2016,17,Youths (7 To 19 Years Old),Male,160
2016,17,Above 21 Years Old,Female,7
2016,17,21 Years Old And Below,Female,47
2016,17,Youths (7 To 19 Years Old),Female,42
2016,14,Above 21 Years Old,Male,345
2016,14,21 Years Old And Below,Male,78
2016,14,Youths (7 To 19 Years Old),Male,52
2016,14,Above 21 Years Old,Female,48
2016,14,21 Years Old And Below,Female,9
2016,14,Youths (7 To 19 Years Old),Female,6
2016,18,Above 21 Years Old,Male,1237
2016,18,21 Years Old And Below,Male,162
2016,18,Youths (7 To 19 Years Old),Male,91
2016,18,Above 21 Years Old,Female,549
2016,18,21 Years Old And Below,Female,95
2016,18,Youths (7 To 19 Years Old),Female,52
2017,15,Above 21 Years Old,Male,11
2017,15,21 Years Old And Below,Male,2
2017,15,Youths (7 To 19 Years Old),Male,1
2017,15,Above 21 Years Old,Female,1
2017,15,21 Years Old And Below,Female,0
2017,15,Youths (7 To 19 Years Old),Female,0
2017,16,Above 21 Years Old,Male,64
2017,16,21 Years Old And Below,Male,24
2017,16,Youths (7 To 19 Years Old),Male,20
2017,16,Above 21 Years Old,Female,0
2017,16,21 Years Old And Below,Female,0
2017,16,Youths (7 To 19 Years Old),Female,0
2017,8,Above 21 Years Old,Male,863
2017,8,21 Years Old And Below,Male,101
2017,8,Youths (7 To 19 Years Old),Male,74
2017,8,Above 21 Years Old,Female,9
2017,8,21 Years Old And Below,Female,2
2017,8,Youths (7 To 19 Years Old),Female,2
2017,7,Above 21 Years Old,Male,64
2017,7,21 Years Old And Below,Male,22
2017,7,Youths (7 To 19 Years Old),Male,18
2017,7,Above 21 Years Old,Female,5
2017,7,21 Years Old And Below,Female,2
2017,7,Youths (7 To 19 Years Old),Female,2
2017,11,Above 21 Years Old,Male,88
2017,11,21 Years Old And Below,Male,55
2017,11,Youths (7 To 19 Years Old),Male,48
2017,11,Above 21 Years Old,Female,7
2017,11,21 Years Old And Below,Female,7
2017,11,Youths (7 To 19 Years Old),Female,7
2017,9,Above 21 Years Old,Male,52
2017,9,21 Years Old And Below,Male,50
2017,9,Youths (7 To 19 Years Old),Male,42
2017,9,Above 21 Years Old,Female,2
2017,9,21 Years Old And Below,Female,5
2017,9,Youths (7 To 19 Years Old),Female,4
2017,10,Above 21 Years Old,Male,32
2017,10,21 Years Old And Below,Male,9
2017,10,Youths (7 To 19 Years Old),Male,6
2017,10,Above 21 Years Old,Female,2
2017,10,21 Years Old And Below,Female,3
2017,10,Youths (7 To 19 Years Old),Female,3
2017,17,Above 21 Years Old,Male,245
2017,17,21 Years Old And Below,Male,172
2017,17,Youths (7 To 19 Years Old),Male,142
2017,17,Above 21 Years Old,Female,10
2017,17,21 Years Old And Below,Female,12
2017,17,Youths (7 To 19 Years Old),Female,10
2017,14,Above 21 Years Old,Male,302
2017,14,21 Years Old And Below,Male,42
2017,14,Youths (7 To 19 Years Old),Male,24
2017,14,Above 21 Years Old,Female,41
2017,14,21 Years Old And Below,Female,9
2017,14,Youths (7 To 19 Years Old),Female,3
2017,18,Above 21 Years Old,Male,1444
2017,18,21 Years Old And Below,Male,228
2017,18,Youths (7 To 19 Years Old),Male,146
2017,18,Above 21 Years Old,Female,605
2017,18,21 Years Old And Below,Female,123
2017,18,Youths (7 To 19 Years Old),Female,87
2018,15,Above 21 Years Old,Male,7
2018,15,21 Years Old And Below,Male,0
2018,15,Youths (7 To 19 Years Old),Male,0
2018,15,Above 21 Years Old,Female,1
2018,15,21 Years Old And Below,Female,1
2018,15,Youths (7 To 19 Years Old),Female,0
2018,16,Above 21 Years Old,Male,116
2018,16,21 Years Old And Below,Male,56
2018,16,Youths (7 To 19 Years Old),Male,48
2018,16,Above 21 Years Old,Female,0
2018,16,21 Years Old And Below,Female,0
2018,16,Youths (7 To 19 Years Old),Female,0
2018,8,Above 21 Years Old,Male,969
2018,8,21 Years Old And Below,Male,143
2018,8,Youths (7 To 19 Years Old),Male,102
2018,8,Above 21 Years Old,Female,9
2018,8,21 Years Old And Below,Female,1
2018,8,Youths (7 To 19 Years Old),Female,1
2018,7,Above 21 Years Old,Male,73
2018,7,21 Years Old And Below,Male,21
2018,7,Youths (7 To 19 Years Old),Male,17
2018,7,Above 21 Years Old,Female,4
2018,7,21 Years Old And Below,Female,1
2018,7,Youths (7 To 19 Years Old),Female,0
2018,11,Above 21 Years Old,Male,86
2018,11,21 Years Old And Below,Male,75
2018,11,Youths (7 To 19 Years Old),Male,67
2018,11,Above 21 Years Old,Female,10
2018,11,21 Years Old And Below,Female,5
2018,11,Youths (7 To 19 Years Old),Female,5
2018,9,Above 21 Years Old,Male,34
2018,9,21 Years Old And Below,Male,36
2018,9,Youths (7 To 19 Years Old),Male,33
2018,9,Above 21 Years Old,Female,1
2018,9,21 Years Old And Below,Female,2
2018,9,Youths (7 To 19 Years Old),Female,2
2018,10,Above 21 Years Old,Male,23
2018,10,21 Years Old And Below,Male,9
2018,10,Youths (7 To 19 Years Old),Male,7
2018,10,Above 21 Years Old,Female,2
2018,10,21 Years Old And Below,Female,1
2018,10,Youths (7 To 19 Years Old),Female,1
2018,17,Above 21 Years Old,Male,177
2018,17,21 Years Old And Below,Male,184
2018,17,Youths (7 To 19 Years Old),Male,137
2018,17,Above 21 Years Old,Female,5
2018,17,21 Years Old And Below,Female,15
2018,17,Youths (7 To 19 Years Old),Female,14
2018,14,Above 21 Years Old,Male,310
2018,14,21 Years Old And Below,Male,46
