CrimeLog_ID,Year,Crime_code,PoliceStation_ID,Total
784,2013,9,33.0,0
785,2013,11,20.0,22
786,2013,7,33.0,0
787,2013,8,32.0,41
788,2013,8,31.0,49
789,2013,9,32.0,26
790,2013,10,32.0,9
791,2013,11,32.0,32
792,2013,11,33.0,0
793,2013,7,32.0,11
794,2013,11,19.0,15
795,2013,10,19.0,8
796,2013,8,19.0,37
797,2013,7,29.0,3
798,2013,4,,16432
799,2013,5,,252
800,2013,15,,16
801,2013,8,6.0,0
802,2013,14,,476
803,2013,6,,3525
804,2013,8,7.0,0
805,2013,9,7.0,0
806,2013,10,7.0,0
807,2013,11,7.0,0
808,2013,7,7.0,0
809,2013,8,25.0,70
810,2013,9,18.0,17
811,2013,11,18.0,10
812,2013,10,29.0,3
813,2013,8,30.0,46
814,2013,9,30.0,18
815,2013,10,30.0,8
816,2013,11,30.0,13
817,2013,7,30.0,10
818,2013,8,29.0,33
819,2013,9,29.0,3
820,2013,11,29.0,7
821,2013,11,31.0,24
822,2013,17,,162
823,2013,9,25.0,2
824,2013,7,18.0,0
825,2013,11,25.0,9
826,2013,11,7.0,2
827,2013,10,7.0,1
828,2013,9,7.0,12
829,2013,11,6.0,3
830,2013,11,34.0,11
831,2013,9,6.0,4
832,2013,9,35.0,6
833,2013,10,17.0,40
834,2013,9,17.0,33
835,2013,8,17.0,54
836,2013,7,35.0,2
837,2013,11,35.0,20
838,2013,10,35.0,6
839,2013,8,35.0,28
840,2013,8,6.0,17
841,2013,7,36.0,2
842,2013,11,36.0,2
843,2013,10,36.0,4
844,2013,9,36.0,12
845,2013,8,36.0,39
846,2013,11,10.0,7
847,2013,11,17.0,60
848,2013,7,17.0,47
849,2013,7,7.0,3
850,2013,8,16.0,31
851,2013,8,2.0,12
852,2013,8,7.0,13
853,2013,8,5.0,31
854,2013,7,1.0,4
855,2013,11,1.0,8
856,2013,10,1.0,0
857,2013,11,9.0,7
858,2013,8,1.0,20
859,2013,7,9.0,3
860,2013,10,9.0,7
861,2013,9,9.0,14
